timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603123519459,2750,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-2,text,true,,60329,133,13,44,https://pokeapi.co/api/v2/pokemon/gogoat,2039,0,1444
1603123509786,12820,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-4,text,true,,60329,133,13,44,https://pokeapi.co/api/v2/pokemon/gogoat,2310,0,1459
1603123522210,682,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-2,text,true,,1207,141,13,44,https://pokeapi.co/api/v2/pokemon/673/encounters,682,0,0
1603123516220,6990,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-15,text,true,,127024,133,21,44,https://pokeapi.co/api/v2/pokemon/buizel,4035,0,3342
1603123518787,4477,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-7,text,true,,60329,133,13,43,https://pokeapi.co/api/v2/pokemon/gogoat,2171,0,1413
1603123517295,6011,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-7,text,true,,127024,133,20,44,https://pokeapi.co/api/v2/pokemon/buizel,2241,0,1503
1603123518092,5231,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-16,text,true,,127024,133,19,43,https://pokeapi.co/api/v2/pokemon/buizel,2139,0,1435
1603123518209,5152,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-10,text,true,,60329,133,13,42,https://pokeapi.co/api/v2/pokemon/gogoat,3546,0,1359
1603123522607,782,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-4,text,true,,1207,141,13,42,https://pokeapi.co/api/v2/pokemon/673/encounters,782,0,0
1603123517485,5904,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-4,text,true,,127024,133,18,42,https://pokeapi.co/api/v2/pokemon/buizel,2142,0,1353
1603123505426,17983,HTTP Request - GET Torterra,200,OK,Ult. Thread Group - Torterra 1-2,text,true,,133226,135,6,41,https://pokeapi.co/api/v2/pokemon/torterra,7728,0,1178
1603123516834,6665,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-26,text,true,,127024,133,17,40,https://pokeapi.co/api/v2/pokemon/buizel,2162,0,1460
